class_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
A3PartyAImage,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d
ADTGridImportVocabulary,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012
ADocWarnings,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b,0x001b
APIVSTAMacroElem,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025
APIVSTAMacroElemTracking,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028
AProperties,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a
ATFProvenanceBaseCell,,,,,,,0x0046,0x0046,0x0046,0x0046,0x0046
ATFRevitObjectStylesOverride,,,,,,,0x004b,0x004c,0x004c,0x004c,0x004c
AbsCurveDriver,0x0049,0x0049,0x0049,0x0049,0x0049,0x004c,0x0057,0x0058,0x0058,0x005d,0x005d
AbsCurveGStep,0x0053,0x0053,0x0053,0x0053,0x0053,0x0056,0x0060,0x0061,0x0061,0x0066,0x0066
AbsCurveType,0x005c,0x005c,0x005c,0x005c,0x005c,0x005f,0x0069,0x006a,0x006a,0x006f,0x006f
AbsDbViewPressureLossReport,0x005f,0x005f,0x005f,0x005f,0x005f,0x0062,0x006c,0x006d,0x006d,0x0072,0x0072
AbsSysCircSweepProfile,0x0070,0x0070,0x0070,0x0070,0x0070,0x0073,0x007d,0x007e,0x007e,0x0083,0x0083
ActiveGeoLocationTrackingElement,0x0077,,,,,,,,,,
AdaptiveCurveElementData,0x007b,0x007a,0x007a,0x007a,0x007a,0x007d,0x0087,0x0088,0x0088,0x008d,0x008d
AdaptiveCurveGeomData,0x007e,0x007d,0x007d,0x007d,0x007d,0x0080,0x0089,0x008a,0x008a,0x008f,0x008f
AdaptiveInstanceCSysPointRef,0x0080,0x007f,0x007f,0x007f,0x007f,0x0082,0x008b,0x008c,0x008c,0x0091,0x0091
Alignment,0x0093,0x0092,0x0092,0x0092,0x0093,0x0096,0x009e,0x009f,0x009f,0x00a9,0x00af
AlignmentStationLabelState,,,,,,0x00a2,0x00aa,0x00ab,0x00ab,0x00b5,0x00bb
AlignmentStationLabelType,,,,,,0x00a5,0x00ad,0x00ae,0x00ae,0x00b7,0x00bd
AllPlanTopologies,0x009b,0x009a,0x009c,0x009d,0x009f,0x00aa,0x00b2,0x00b3,0x00b3,0x00bc,0x00c2
AllScheduleInstanceRegenData,0x00ab,0x00aa,0x00ac,0x00ad,0x00af,0x00ba,0x00bf,0x00c1,0x00c1,0x00ca,0x00d0
AllowGStyleDrawFilter,0x00af,0x00ae,0x00b0,0x00b1,0x00b3,0x00be,0x00c3,0x00c5,0x00c5,,
AlphanumericRevisionSettings,0x00a8,0x00a7,0x00a9,0x00aa,0x00ac,0x00b7,0x00c5,0x00c7,0x00c7,0x00d0,0x00d6
AnalyticalAutomationEditModeMgr,,,,,,,,,,,0x00ee
AnalyticalBarAutoConnectData,,,,,,0x00d2,,,,,
AnalyticalBeamSlabWarning,0x00c6,0x00c3,0x00c5,0x00c6,0x00c9,0x00d6,0x00da,0x00dc,0x00dc,0x00e9,0x00f1
AnalyticalBusData,,,,,,,,0x00de,0x00de,0x00eb,0x00f3
AnalyticalCurveCell,0x00d2,0x00cf,0x00d1,0x00d2,0x00d5,0x00e2,0x00e7,0x00ea,0x00eb,0x00fb,0x0104
AnalyticalCurveConnectorPosition,0x00d4,0x00d1,0x00d3,0x00d4,0x00d7,0x00e4,0x00e9,0x00ec,0x00ed,0x00fd,0x0106
AnalyticalCurvedPanel,,,,,,,,0x00ef,0x00f0,0x0100,0x0109
AnalyticalEndConnectorConstraint,0x00d8,0x00d5,0x00d7,0x00d8,0x00db,0x00e8,0x00ef,0x00f9,0x00fa,0x010b,0x0114
AnalyticalLevelAssociationCell,,,,,,,,0x00ff,0x0100,0x0111,0x011a
AnalyticalLineAutoConnectData,0x00de,0x00db,0x00dd,0x00de,0x00e1,,0x00f5,0x0101,0x0102,0x0113,0x011c
AnalyticalLineMoveAlongMultiDirControl,,,,,,0x00f3,,,,,
AnalyticalLinkElemTypeInfo,0x00e1,0x00de,0x00e0,0x00e1,0x00e4,0x00f9,0x00f8,0x0104,0x0105,0x0116,0x011f
AnalyticalLoadCaseParamElem,,,,,,,,,0x0110,0x0121,0x012a
AnalyticalMemberMoveAlongMultiDirControl,,,,,,,0x0106,0x0114,0x011e,0x012f,0x0138
AnalyticalModelBeam,0x00eb,0x00e8,0x00ea,0x00eb,0x00ee,0x0103,0x010c,0x011a,0x0124,0x0135,0x013e
AnalyticalModelEditModeMgr,0x00f2,0x00ef,0x00f1,0x00f2,0x00f5,0x010a,0x0113,0x0121,0x012b,0x013c,
AnalyticalModelFamilyInstance,0x00ed,0x00ea,0x00ec,0x00ed,0x00f0,0x0105,0x010e,0x011c,0x0126,0x0137,0x0140
AnalyticalModelFamilyInstanceMoveAlongMultiDirControl,0x00f4,0x00f1,0x00f3,0x00f4,0x00f7,0x010c,0x0115,0x0123,0x012d,0x013e,0x0146
AnalyticalModelImplMoveAlongMultiDirControl,0x00f5,0x00f2,0x00f4,0x00f5,0x00f8,,,,,,
AnalyticalModelSlab,0x00fd,0x00fa,0x00fc,0x00fd,0x0100,0x0111,0x011a,0x0128,0x0132,0x0143,0x014b
AnalyticalModelStick,0x00ec,0x00e9,0x00eb,0x00ec,0x00ef,0x0104,0x010d,0x011b,0x0125,0x0136,0x013f
AnalyticalNodeCell,,,,,,0x0117,0x0120,0x012e,0x0138,0x014a,0x0152
AnalyticalOpeningNodeConnectorConstraint,,,,,,,,0x0138,0x0142,0x0155,0x015d
AnalyticalOpeningNodeConnectorPosition,,,,,,,,0x013a,0x0144,0x0157,0x015f
AnalyticalPanel,,,,,,,,0x00f0,0x00f1,0x0101,0x010a
AnalyticalPanelPatternHelper,,,,,,,,0x013f,0x0149,0x015c,0x0164
AnalyticalParamDefAlignmentMethod,0x010d,0x010a,0x010c,0x010d,0x0110,0x0123,0x012c,0x0143,0x014d,0x0160,0x0168
AnalyticalPowerDistributableNodeData,,,,,,,,,,0x00ec,0x00f4
AnalyticalReferencePointGridNetTrackerCell,,,,,,,,0x0149,0x0153,0x0166,0x016e
AnalyticalSingleVoltagePropertyData,,,,,,,,,0x00df,,
AnalyticalSlabAdjustmentGStep,,0x0114,0x0116,0x0117,0x011a,0x012d,0x0136,0x0154,0x015e,0x0172,0x017a
AnalyticalSupportCurve,0x0117,0x0116,0x0118,0x0119,0x011d,0x0130,0x0139,0x0157,0x0161,0x0175,0x017d
AnalyticalSurfaceBase,,,,,,,,0x00f1,0x00f2,0x0102,0x010b
AngularDimensionType,0x012b,0x012a,0x012c,0x012d,0x0131,,,,,,
